TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/08/18
TIME,18:55:55
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  499.4729
LASTX, 4200.2010
NPOINTS,    3839
FIRSTY,    64.22946
MAXY,   100.08702
MINY,    64.22946
XYDATA
1127.1890,85.5078
1128.1532,85.3766
1129.1174,85.2305
1130.0817,85.0912
1131.0459,84.9749
1132.0101,84.893
1132.9744,84.8557
1133.9386,84.8755
1134.9028,84.9659
1135.8671,85.1343
1136.8313,85.3757
1137.7955,85.6729
1138.7598,86.0055
1139.7240,86.3628
1140.6882,86.7517
1141.6525,87.1928
1142.6167,87.7047
1143.5809,88.2877
1144.5452,88.918
1145.5094,89.5567
1146.4736,90.1683
1147.4379,90.7359
1148.4021,91.2623
1149.3663,91.7583
1150.3306,92.2282
1151.2948,92.6636
1152.2590,93.0497
1153.2233,93.3777
1154.1875,93.6521
1155.1517,93.8882
1156.1160,94.1016
1157.0802,94.2994
1158.0444,94.4781
1159.0087,94.6288
1159.9729,94.7446
1160.9371,94.8242
1161.9014,94.8707
1162.8656,94.889
1163.8298,94.8856
1164.7941,94.8689
1165.7583,94.8489
1166.7225,94.834
1167.6868,94.8266
1168.6510,94.821
1169.6152,94.8073
1170.5795,94.7785
1171.5437,94.7355
1172.5079,94.6863
1173.4722,94.6386
1174.4364,94.5925
1175.4006,94.5392
1176.3649,94.4683
1177.3291,94.377
1178.2933,94.2756
1179.2576,94.1818
1180.2218,94.1091
1181.1860,94.0563
1182.1503,94.0066
1183.1145,93.9364
1184.0787,93.8298
1185.0430,93.6878
1186.0072,93.5273
1186.9714,93.3716
1187.9357,93.2373
1188.8999,93.1285
1189.8641,93.0371
1190.8284,92.9495
1191.7926,92.8534
1192.7568,92.7406
1193.7211,92.6068
1194.6853,92.4513
1195.6495,92.2763
1196.6138,92.0887
1197.5780,91.8986
1198.5422,91.7163
1199.5065,91.5464
1200.4707,91.3845
1201.4349,91.2169
1202.3992,91.0264
1203.3634,90.7995
1204.3276,90.5318
1205.2919,90.228
1206.2561,89.8965
1207.2203,89.5426
1208.1846,89.1643
1209.1488,88.753
1210.1130,88.299
1211.0773,87.797
1212.0415,87.2486
1213.0057,86.6591
1213.9700,86.0327
1214.9342,85.3702
1215.8984,84.6711
1216.8627,83.9402
1217.8269,83.1925
1218.7911,82.4536
1219.7554,81.7551
1220.7196,81.1297
1221.6838,80.6091
1222.6481,80.2257
1223.6123,80.0124
1224.5765,79.9986
1225.5408,80.2013
1226.5050,80.6181
1227.4692,81.2269
1228.4335,81.9929
1229.3977,82.8777
1230.3619,83.8448
1231.3262,84.8598
1232.2904,85.888
1233.2546,86.895
1234.2189,87.8494
1235.1831,88.7289
1236.1473,89.5228
1237.1116,90.2319
1238.0758,90.8629
1239.0400,91.4227
1240.0043,91.9141
1240.9685,92.3344
1241.9327,92.6781
1242.8970,92.9414
1243.8612,93.1269
1244.8254,93.2465
1245.7897,93.3197
1246.7539,93.3695
1247.7181,93.415
1248.6824,93.4659
1249.6466,93.5213
1250.6108,93.5733
1251.5751,93.6143
1252.5393,93.6428
1253.5035,93.6644
1254.4678,93.6867
1255.4320,93.713
1256.3962,93.7377
1257.3605,93.7499
1258.3247,93.7408
1259.2889,93.7119
1260.2532,93.6762
1261.2174,93.6514
1262.1816,93.6498
1263.1459,93.6708
1264.1101,93.7029
1265.0743,93.7313
1266.0386,93.7468
1267.0028,93.7489
1267.9670,93.7442
1268.9313,93.7405
1269.8955,93.7417
1270.8597,93.7469
1271.8240,93.7515
1272.7882,93.7512
1273.7524,93.7442
1274.7167,93.7314
1275.6809,93.7154
1276.6451,93.6983
1277.6094,93.6806
1278.5736,93.6615
1279.5378,93.6401
1280.5021,93.6166
1281.4663,93.5934
1282.4305,93.5739
1283.3948,93.56
1284.3590,93.5496
1285.3232,93.5363
1286.2875,93.5119
1287.2517,93.4705
1288.2159,93.4124
1289.1802,93.3442
1290.1444,93.2753
