TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/01
TIME	12:24:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-750, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	800
LASTX	200
NPOINTS	601
FIRSTY	0.857435
MAXY	1.24188
MINY	-1.19018
XYDATA
367	1.21118
366	1.20826
365	1.20702
364	1.20457
363	1.20313
362	1.2009
361	1.1993
360	1.19747
359	1.19673
358	1.19568
357	1.19431
356	1.19224
355	1.19066
354	1.18949
353	1.18875
352	1.18911
351	1.18803
350	1.18704
349	1.18593
348	1.18527
347	1.18406
346	1.18386
345	1.18317
344	1.18365
343	1.1831
342	1.18276
341	1.1826
340	1.17306
339	1.1733
338	1.17305
337	1.17199
336	1.1705
335	1.16919
334	1.16923
333	1.16904
332	1.169
331	1.1687
330	1.16804
329	1.16796
328	1.16742
327	1.167
326	1.16622
325	1.1656
324	1.16502
323	1.16498
322	1.16416
321	1.16328
320	1.16161
319	1.16138
318	1.16067
317	1.15963
316	1.15828
315	1.15754
314	1.15642
313	1.1555
312	1.15434
311	1.15374
310	1.15378
309	1.15319
308	1.15236
307	1.15212
306	1.15201
305	1.15145
304	1.15062
303	1.14907
302	1.14796
301	1.14692
300	1.14635
299	1.14649
298	1.14581
297	1.14494
296	1.14297
295	1.14156
294	1.13918
293	1.13739
292	1.13548
291	1.13447
290	1.13298
289	1.132
288	1.13059
287	1.12925
286	1.12738
285	1.12545
284	1.1238
283	1.1225
282	1.12169
281	1.12055
280	1.11984
279	1.11854
278	1.11737
277	1.11606
276	1.11504
275	1.11382
274	1.11243
273	1.11129
272	1.11015
271	1.10921
270	1.10815
269	1.10651
268	1.10516
267	1.10377
266	1.1028
265	1.10151
264	1.10012
263	1.09903
262	1.09751
261	1.09555
260	1.09317
259	1.09073
258	1.08864
257	1.08561
256	1.08306
255	1.07951
254	1.0761
253	1.07175
252	1.06808
251	1.06334
250	1.05858
249	1.0534
248	1.04725
247	1.04108
246	1.03495
245	1.02916
244	1.02348
243	1.01699
242	1.01029
241	1.00254
240	0.994639
239	0.986117
238	0.977028
237	0.966535
236	0.955402
235	0.943548
234	0.931185
233	0.918413
232	0.905173
231	0.891145
230	0.877103
229	0.862659
228	0.848463
227	0.83288
226	0.817825
225	0.801719
224	0.785082
223	0.767702
222	0.749142
221	0.729702
220	0.709497
219	0.688119
218	0.666001
217	0.642006
216	0.61698
215	0.589709
214	0.560073
213	0.525866
212	0.488088
211	0.443903
210	0.392161
209	0.330792
208	0.256679
207	0.166816
206	0.0571236
205	-0.0770395
204	-0.24142
203	-0.44067
202	-0.676393
201	-0.937591
200	-1.19018



[コメント情報]
試料名	thf
オペレーター	
所属	
コメント	

[データ情報]
作成日時	2023/06/01 12:24
スタート	800 nm
エンド	200 nm
データ間隔	1 nm
データ数	601     

[測定情報]
機種名	V-750
シリアル番号	A012561799
測光モード	Abs
UV/Vis バンド幅	2 nm
レスポンス	Medium
